Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Observation Table for January 1 1990 to March 1 2025,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available,,,,,,,,,,,,,,,,,,,,,,,,,
,deg,deg,ft,,,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,mm,,mm,%,
Streeter,46.71797,-99.46081,1944,1992,04,06,15,,8.45,6.55,,-1.074,,-3.739,2.665,,6.963,,2.356,4.608,0,,0.762,61,
Streeter,46.71797,-99.46081,1944,1992,04,07,7.39,,8.728,-1.338,,-3.204,,-3.572,0.368,,2.093,,2.578,-0.484,0,,0.762,61,
Streeter,46.71797,-99.46081,1944,1992,04,08,12.82,,9.05,3.77,,-3.252,,-3.361,0.109,,4.784,,2.844,1.939,0,,1.016,61,
Streeter,46.71797,-99.46081,1944,1992,04,09,3.96,,9.322,-5.362,,-4.803,,-3.15,-1.653,,-0.421,,3.083,-3.504,0,,0.762,61,
Streeter,46.71797,-99.46081,1944,1992,04,10,1.676,,9.6,-7.924,,-4.676,,-2.933,-1.743,,-1.5,,3.333,-4.833,0,,0.762,61,
Streeter,46.71797,-99.46081,1944,1992,04,11,-2.101,,9.878,-11.979,,-7.753,E,-2.722,-5.031,E,-4.927,E,3.578,-8.505,0,,0.762,61,
Streeter,46.71797,-99.46081,1944,1992,04,12,-2.317,,10.144,-12.462,,-4.897,E,-2.506,-2.392,E,-3.607,E,3.822,-7.429,0,,1.016,61,
Streeter,46.71797,-99.46081,1944,1992,04,13,12.54,,10.422,2.118,,-5.09,,-2.289,-2.801,,3.725,,4.067,-0.342,0,,0.762,60,
Streeter,46.71797,-99.46081,1944,1992,04,14,14.25,,10.689,3.561,,0.148,,-2.072,2.22,,7.199,,4.311,2.888,0,,1.016,60,
Streeter,46.71797,-99.46081,1944,1992,04,15,15.19,,10.967,4.223,,4.323,,-1.861,6.184,,9.757,,4.556,5.201,0,,1.016,60,
Streeter,46.71797,-99.46081,1944,1992,04,16,10,,11.239,-1.239,,2.438,,-1.644,4.082,,6.219,,4.794,1.424,0,,1.016,60,
Streeter,46.71797,-99.46081,1944,1992,04,17,16.28,,11.517,4.763,,1.076,,-1.478,2.554,,8.678,,5.017,3.662,0.991,,1.016,60,
Streeter,46.71797,-99.46081,1944,1992,04,18,16.45,,11.783,4.667,,5.545,,-1.256,6.801,,10.998,,5.267,5.731,3.988,,0.762,61,
Streeter,46.71797,-99.46081,1944,1992,04,19,7.94,,12.006,-4.066,,-4.925,,-1.044,-3.881,,1.508,,5.483,-3.976,2.997,,1.016,61,
Streeter,46.71797,-99.46081,1944,1992,04,20,-3.649,E,12.283,-15.933,E,-6.077,E,-0.822,-5.255,E,-4.863,E,5.728,-10.591,0,,1.016,61,
Streeter,46.71797,-99.46081,1944,1992,04,21,-1.962,,12.556,-14.518,,-6.011,E,-0.611,-5.4,E,-3.987,E,5.972,-9.959,0,,1.27,61,
Streeter,46.71797,-99.46081,1944,1992,04,22,2.361,,12.783,-10.422,,-5.586,E,-0.389,-5.197,E,-1.612,E,6.2,-7.812,0,,1.016,61,
Streeter,46.71797,-99.46081,1944,1992,04,23,3.68,,13.056,-9.376,,-1.419,,-0.172,-1.247,,1.131,,6.439,-5.308,0,,1.27,61,
Streeter,46.71797,-99.46081,1944,1992,04,24,7.87,,13.322,-5.452,,-2.351,,0.094,-2.446,,2.759,,6.711,-3.952,0,,1.27,61,
Streeter,46.71797,-99.46081,1944,1992,04,25,9.99,,13.556,-3.566,,-3.334,,0.317,-3.651,,3.328,,6.933,-3.605,0,,1.524,60,
Streeter,46.71797,-99.46081,1944,1992,04,26,14.4,,13.822,0.578,,-3.092,E,0.539,-3.631,E,5.654,E,7.178,-1.523,0,,1.524,60,
Streeter,46.71797,-99.46081,1944,1992,04,27,17.55,,14.044,3.506,,-0.293,,0.761,-1.054,,8.629,,7.406,1.223,0,,1.524,60,
Streeter,46.71797,-99.46081,1944,1992,04,28,26.07,,14.322,11.748,,8.77,,0.983,7.787,,17.42,,7.656,9.764,0,,1.524,60,
Streeter,46.71797,-99.46081,1944,1992,04,29,25.59,,14.544,11.046,,6.947,,1.206,5.742,,16.269,,7.872,8.397,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,04,30,33.49,,14.767,18.723,,12.38,,1.428,10.952,,22.935,,8.1,14.835,0,,1.524,60,
Streeter,46.71797,-99.46081,1944,1992,05,01,19.06,,15.044,4.016,,7.88,,1.706,6.174,,13.47,,8.378,5.092,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,05,02,18.22,,15.267,2.953,,2.351,,1.928,0.423,,10.286,,8.594,1.691,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,05,03,21.34,,15.489,5.851,,1.479,,2.161,-0.682,,11.409,,8.828,2.582,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,05,04,20.18,,15.711,4.469,,2.97,,2.428,0.542,,11.575,,9.072,2.503,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,05,05,21.18,,15.989,5.191,,1.944,,2.661,-0.717,,11.562,,9.322,2.24,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,05,06,29.07,,16.211,12.859,,8.59,,2.883,5.707,,18.83,,9.55,9.28,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,05,07,32.19,,16.433,15.757,,10.41,,3.161,7.249,,21.3,,9.794,11.506,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,05,08,24.07,,16.656,7.414,,11.33,,3.394,7.936,,17.7,,10.028,7.672,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,05,09,31.41,,16.878,14.532,,13.26,,3.667,9.593,,22.335,,10.272,12.063,0,,2.286,59,
Streeter,46.71797,-99.46081,1944,1992,05,10,18.73,,17.106,1.624,,7.48,,3.9,3.58,,13.105,,10.506,2.599,2.997,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,05,11,23.73,,17.328,6.402,,5.462,,4.122,1.34,,14.596,,10.722,3.874,0,,2.286,59,
Streeter,46.71797,-99.46081,1944,1992,05,12,13.62,,17.55,-3.93,,2.4,,4.4,-2,,8.01,,10.978,-2.968,0,,2.286,59,
Streeter,46.71797,-99.46081,1944,1992,05,13,15.16,,17.772,-2.612,,1.5,,4.633,-3.133,,8.33,,11.206,-2.876,0,,2.286,58,
Streeter,46.71797,-99.46081,1944,1992,05,14,23.26,,17.95,5.31,,3.513,,4.911,-1.398,,13.387,,11.433,1.953,0,,2.286,58,
Streeter,46.71797,-99.46081,1944,1992,05,15,25.14,,18.161,6.979,,3.254,,5.139,-1.885,,14.197,,11.65,2.547,0,,2.032,58,
Streeter,46.71797,-99.46081,1944,1992,05,16,19.74,,18.383,1.357,,6.159,,5.372,0.787,,12.949,,11.878,1.072,32.004,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,05,17,17.21,,18.606,-1.396,,5.372,,5.65,-0.278,,11.291,,12.128,-0.837,0,,2.286,61,
Streeter,46.71797,-99.46081,1944,1992,05,18,26.07,,18.778,7.292,,7.49,,5.883,1.607,,16.78,,12.333,4.447,0.991,,2.54,61,
Streeter,46.71797,-99.46081,1944,1992,05,19,33.3,,18.994,14.306,,15.89,,6.15,9.74,,24.595,,12.572,12.023,0,,2.54,61,
Streeter,46.71797,-99.46081,1944,1992,05,20,29.77,,19.167,10.603,,16.44,,6.383,10.057,,23.105,,12.778,10.327,0,,2.54,61,
Streeter,46.71797,-99.46081,1944,1992,05,21,30.13,,19.378,10.752,,7.16,,6.611,0.549,,18.645,,12.994,5.651,2.997,,2.286,61,
Streeter,46.71797,-99.46081,1944,1992,05,22,10.4,,19.556,-9.156,,-4.08,E,6.878,-10.958,E,3.16,E,13.217,-10.057,10.008,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,05,23,11.42,,19.722,-8.302,,-0.843,E,7.111,-7.954,E,5.289,E,13.417,-8.128,0.991,,2.286,62,
Streeter,46.71797,-99.46081,1944,1992,05,24,8.05,,19.933,-11.883,,1.974,E,7.333,-5.359,E,5.012,E,13.633,-8.621,0,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,05,25,11.53,,20.111,-8.581,,-1.486,E,7.567,-9.052,E,5.022,E,13.839,-8.817,0.991,,2.286,62,
Streeter,46.71797,-99.46081,1944,1992,05,26,17.3,,20.278,-2.978,,0.751,E,7.789,-7.038,E,9.026,E,14.033,-5.008,0,,2.286,62,
Streeter,46.71797,-99.46081,1944,1992,05,27,18.54,,20.444,-1.904,,2.514,,8.056,-5.542,,10.527,,14.25,-3.723,0,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,05,28,20.97,,20.611,0.359,,2.552,,8.283,-5.731,,11.761,,14.444,-2.683,0,,2.54,61,
Streeter,46.71797,-99.46081,1944,1992,05,29,24.54,,20.778,3.762,,7.03,,8.506,-1.476,,15.785,,14.644,1.141,0,,2.794,61,
Streeter,46.71797,-99.46081,1944,1992,05,30,25.15,,20.944,4.206,,8,,8.728,-0.728,,16.575,,14.833,1.742,0,,2.54,61,
Streeter,46.71797,-99.46081,1944,1992,05,31,24.76,,21.111,3.649,,11.85,,8.894,2.956,,18.305,,15,3.305,0,,2.794,61,
Streeter,46.71797,-99.46081,1944,1992,06,01,24.42,,21.278,3.142,,8.84,,9.117,-0.277,,16.63,,15.194,1.436,0,,3.048,61,
Streeter,46.71797,-99.46081,1944,1992,06,02,23.86,,21.433,2.427,,8.51,,9.339,-0.829,,16.185,,15.389,0.796,0,,2.794,60,
Streeter,46.71797,-99.46081,1944,1992,06,03,25.67,,21.6,4.07,,9.02,,9.556,-0.536,,17.345,,15.578,1.767,3.988,,2.794,61,
Streeter,46.71797,-99.46081,1944,1992,06,04,18.59,,21.767,-3.177,,5.128,,9.728,-4.6,,11.859,,15.744,-3.886,0,,3.048,61,
Streeter,46.71797,-99.46081,1944,1992,06,05,18.35,,21.878,-3.528,,4.814,,9.944,-5.131,,11.582,,15.911,-4.329,0,,2.794,60,
Streeter,46.71797,-99.46081,1944,1992,06,06,11.88,,22.05,-10.17,,-1.3,E,10.156,-11.456,E,5.29,E,16.1,-10.81,0,,3.048,60,
Streeter,46.71797,-99.46081,1944,1992,06,07,17.14,,22.206,-5.066,,1.173,E,10.322,-9.149,E,9.157,E,16.261,-7.104,0,,3.048,60,
Streeter,46.71797,-99.46081,1944,1992,06,08,21.6,,22.328,-0.728,,4.132,E,10.5,-6.368,E,12.866,E,16.417,-3.551,0,,3.048,60,
Streeter,46.71797,-99.46081,1944,1992,06,09,25.79,,22.483,3.307,,5.05,,10.7,-5.65,,15.42,,16.589,-1.169,0,,2.794,60,
Streeter,46.71797,-99.46081,1944,1992,06,10,27.12,,22.606,4.514,,11.14,,10.867,0.273,,19.13,,16.733,2.397,0,,3.048,59,
Streeter,46.71797,-99.46081,1944,1992,06,11,29.36,,22.761,6.599,,14.75,,11.033,3.717,,22.055,,16.894,5.161,0,,3.048,59,
Streeter,46.71797,-99.46081,1944,1992,06,12,30.05,,22.883,7.167,,11.88,,11.2,0.68,,20.965,,17.039,3.926,0,,3.302,59,
Streeter,46.71797,-99.46081,1944,1992,06,13,29.25,,23.039,6.211,,14,,11.361,2.639,,21.625,,17.2,4.425,0,,3.048,59,
Streeter,46.71797,-99.46081,1944,1992,06,14,24.03,,23.15,0.88,,13.36,,11.528,1.832,,18.695,,17.339,1.356,5.004,,3.048,59,
Streeter,46.71797,-99.46081,1944,1992,06,15,16.4,,23.322,-6.922,,13.11,,11.683,1.427,,14.755,,17.506,-2.751,8.001,,3.048,60,
Streeter,46.71797,-99.46081,1944,1992,06,16,25.89,,23.433,2.457,,13.39,,11.85,1.54,,19.64,,17.644,1.996,18.009,,3.048,61,
Streeter,46.71797,-99.46081,1944,1992,06,17,19.37,,23.55,-4.18,,13.77,,12.006,1.764,,16.57,,17.778,-1.208,27,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,06,18,25.65,,23.711,1.939,,12.81,,12.167,0.643,,19.23,,17.939,1.291,8.992,,3.048,65,
Streeter,46.71797,-99.46081,1944,1992,06,19,12.87,,23.833,-10.963,,5.713,,12.272,-6.559,,9.292,,18.056,-8.764,0,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,06,20,16.97,,23.944,-6.974,,4.461,,12.439,-7.978,,10.716,,18.194,-7.479,0,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,06,21,22.17,,24.1,-1.93,,7.3,,12.556,-5.256,,14.735,,18.328,-3.593,0,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,06,22,27.28,,24.222,3.058,,8.6,,12.711,-4.111,,17.94,,18.467,-0.527,0,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,06,23,24.91,,24.333,0.577,,9.91,,12.822,-2.912,,17.41,,18.578,-1.168,0,,3.302,64,
Streeter,46.71797,-99.46081,1944,1992,06,24,23.92,,24.456,-0.536,,11.56,,12.933,-1.373,,17.74,,18.694,-0.954,2.007,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,06,25,20.32,,24.611,-4.291,,7.51,,13.044,-5.534,,13.915,,18.828,-4.913,0,,3.302,63,
Streeter,46.71797,-99.46081,1944,1992,06,26,22.25,,24.733,-2.483,,6.324,,13.144,-6.821,,14.287,,18.939,-4.652,0,,3.302,63,
Streeter,46.71797,-99.46081,1944,1992,06,27,27.16,,24.844,2.316,,11.43,,13.256,-1.826,,19.295,,19.05,0.245,0,,3.302,63,
Streeter,46.71797,-99.46081,1944,1992,06,28,24.65,,24.967,-0.317,,10.09,,13.367,-3.277,,17.37,,19.167,-1.797,0,,3.302,63,
Streeter,46.71797,-99.46081,1944,1992,06,29,18.23,,25.078,-6.848,,6.755,,13.478,-6.723,,12.493,,19.278,-6.785,0,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,06,30,12.51,,25.244,-12.734,,7.98,,13.589,-5.609,,10.245,,19.417,-9.172,10.998,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,07,01,16.46,,25.356,-8.896,,9,,13.694,-4.694,,12.73,,19.522,-6.792,2.997,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,07,02,14.7,,25.467,-10.767,,7.95,,13.756,-5.806,,11.325,,19.611,-8.286,2.007,,3.302,64,
Streeter,46.71797,-99.46081,1944,1992,07,03,18.21,,25.589,-7.379,,6.912,,13.867,-6.954,,12.561,,19.728,-7.167,0.991,,3.302,64,
Streeter,46.71797,-99.46081,1944,1992,07,04,21.96,,25.7,-3.74,,4.943,,13.922,-8.979,,13.452,,19.811,-6.359,2.007,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,07,05,21.93,,25.822,-3.892,,7.8,,14.033,-6.233,,14.865,,19.928,-5.063,0,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,07,06,19.56,,25.933,-6.373,,11.71,,14.089,-2.379,,15.635,,20.011,-4.376,5.004,,3.302,64,
Streeter,46.71797,-99.46081,1944,1992,07,07,25.15,,26.039,-0.889,,14.53,,14.156,0.374,,19.84,,20.094,-0.254,0.991,,3.048,64,
Streeter,46.71797,-99.46081,1944,1992,07,08,23.64,,26.15,-2.51,,13,,14.211,-1.211,,18.32,,20.178,-1.858,0,,2.794,63,
Streeter,46.71797,-99.46081,1944,1992,07,09,24.73,,26.272,-1.542,,11.69,,14.311,-2.621,,18.21,,20.294,-2.084,0,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,07,10,19.47,,26.383,-6.913,,10.15,,14.378,-4.228,,14.81,,20.383,-5.573,2.007,,2.794,63,
Streeter,46.71797,-99.46081,1944,1992,07,11,19.52,,26.45,-6.93,,9.47,,14.433,-4.963,,14.495,,20.444,-5.949,0.991,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,07,12,23.93,,26.561,-2.631,,13.85,,14.444,-0.594,,18.89,,20.506,-1.616,0.991,,2.794,63,
Streeter,46.71797,-99.46081,1944,1992,07,13,21.97,,26.672,-4.702,,14.42,,14.5,-0.08,,18.195,,20.589,-2.394,2.007,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,07,14,27.74,,26.733,1.007,,13.32,,14.556,-1.236,,20.53,,20.644,-0.114,0,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,07,15,22.85,,26.839,-3.989,,10.99,,14.611,-3.621,,16.92,,20.728,-3.808,0.991,,3.048,63,
Streeter,46.71797,-99.46081,1944,1992,07,16,20.79,,26.9,-6.11,,11.03,,14.617,-3.587,,15.91,,20.761,-4.851,0,,2.794,63,
Streeter,46.71797,-99.46081,1944,1992,07,17,21.46,,27,-5.54,,11.34,,14.672,-3.332,,16.4,,20.833,-4.433,0,,3.048,62,
Streeter,46.71797,-99.46081,1944,1992,07,18,28.44,,27.067,1.373,,9.07,,14.683,-5.613,,18.755,,20.878,-2.123,0,,2.794,62,
Streeter,46.71797,-99.46081,1944,1992,07,19,20.47,,27.122,-6.652,,7.65,,14.683,-7.033,,14.06,,20.9,-6.84,0,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,07,20,22.25,,27.178,-4.928,,5.902,,14.739,-8.837,,14.076,,20.956,-6.879,0,,2.794,62,
Streeter,46.71797,-99.46081,1944,1992,07,21,21.72,,27.233,-5.513,,8.17,,14.739,-6.569,,14.945,,20.989,-6.044,0,,2.794,62,
Streeter,46.71797,-99.46081,1944,1992,07,22,22.98,,27.289,-4.309,,8.99,,14.744,-5.754,,15.985,,21.017,-5.032,0,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,07,23,21.48,,27.344,-5.864,,5.882,,14.744,-8.862,,13.681,,21.044,-7.363,0,,2.54,62,
Streeter,46.71797,-99.46081,1944,1992,07,24,26.64,,27.356,-0.716,,13.74,,14.744,-1.004,,20.19,,21.05,-0.86,0,,2.286,61,
Streeter,46.71797,-99.46081,1944,1992,07,25,25.65,,27.406,-1.756,,13.96,,14.744,-0.784,,19.805,,21.078,-1.273,2.997,,2.286,62,
Streeter,46.71797,-99.46081,1944,1992,07,26,29.68,,27.411,2.269,,9.37,,14.7,-5.33,,19.525,,21.056,-1.531,0,,2.286,61,
Streeter,46.71797,-99.46081,1944,1992,07,27,30.06,,27.456,2.604,,13.88,,14.7,-0.82,,21.97,,21.078,0.892,0,,2.286,61,
Streeter,46.71797,-99.46081,1944,1992,07,28,24.95,,27.456,-2.506,,9.87,,14.7,-4.83,,17.41,,21.078,-3.668,0,,2.032,61,
Streeter,46.71797,-99.46081,1944,1992,07,29,21.53,,27.461,-5.931,,8.36,,14.644,-6.284,,14.945,,21.056,-6.111,2.007,,2.286,61,
Streeter,46.71797,-99.46081,1944,1992,07,30,23.34,,27.456,-4.116,,11.38,,14.644,-3.264,,17.36,,21.05,-3.69,2.007,,2.032,61,
Streeter,46.71797,-99.46081,1944,1992,07,31,28.91,,27.456,1.454,,11.11,,14.589,-3.479,,20.01,,21.022,-1.012,0,,2.032,61,
Streeter,46.71797,-99.46081,1944,1992,08,01,27.8,,27.456,0.344,,10.08,,14.533,-4.453,,18.94,,20.994,-2.054,0,,1.778,61,
Streeter,46.71797,-99.46081,1944,1992,08,02,24.89,,27.4,-2.51,,7.74,,14.489,-6.749,,16.315,,20.944,-4.629,0,,1.778,61,
Streeter,46.71797,-99.46081,1944,1992,08,03,23.57,,27.4,-3.83,,4.516,,14.433,-9.917,,14.043,,20.917,-6.873,0,,2.032,61,
Streeter,46.71797,-99.46081,1944,1992,08,04,19.24,,27.344,-8.104,,9.84,,14.378,-4.538,,14.54,,20.861,-6.321,0,,1.778,61,
Streeter,46.71797,-99.46081,1944,1992,08,05,21.81,,27.289,-5.479,,8.01,,14.311,-6.301,,14.91,,20.8,-5.89,0,,2.032,61,
Streeter,46.71797,-99.46081,1944,1992,08,06,19.09,,27.278,-8.188,,13.23,,14.256,-1.026,,16.16,,20.767,-4.607,0,,1.778,61,
Streeter,46.71797,-99.46081,1944,1992,08,07,31.26,,27.222,4.038,,16.98,,14.2,2.78,,24.12,,20.711,3.409,0,,1.778,61,
Streeter,46.71797,-99.46081,1944,1992,08,08,35.29,,27.167,8.123,,16.69,,14.089,2.601,,25.99,,20.628,5.362,0,,2.032,60,
Streeter,46.71797,-99.46081,1944,1992,08,09,31.68,,27.067,4.613,,15.67,,14.033,1.637,,23.675,,20.55,3.125,0.991,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,10,26.74,,27.011,-0.271,,7.34,,13.922,-6.582,,17.04,,20.467,-3.427,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,11,24.24,,26.944,-2.704,,8.71,,13.856,-5.146,,16.475,,20.4,-3.925,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,12,22.67,,26.844,-4.174,,8.55,,13.744,-5.194,,15.61,,20.294,-4.684,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,13,24.96,,26.733,-1.773,,8.72,,13.633,-4.913,,16.84,,20.183,-3.343,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,14,26.41,,26.667,-0.257,,10.07,,13.522,-3.452,,18.24,,20.094,-1.854,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,15,27.88,,26.561,1.319,,10.92,,13.411,-2.491,,19.4,,19.983,-0.583,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,16,31.62,,26.45,5.17,,12.81,,13.3,-0.49,,22.215,,19.878,2.337,0,,2.032,60,
Streeter,46.71797,-99.46081,1944,1992,08,17,26.92,,26.339,0.581,,11.34,,13.189,-1.849,,19.13,,19.767,-0.637,0,,1.778,60,
Streeter,46.71797,-99.46081,1944,1992,08,18,29.36,,26.228,3.132,,8.07,,13.072,-5.002,,18.715,,19.65,-0.935,0,,2.032,60,
Streeter,46.71797,-99.46081,1944,1992,08,19,31.38,,26.072,5.308,,11.66,,12.961,-1.301,,21.52,,19.517,2.003,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,20,31.55,,25.956,5.594,,14.47,,12.794,1.676,,23.01,,19.378,3.632,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,21,24.2,,25.85,-1.65,,10.97,,12.683,-1.713,,17.585,,19.267,-1.682,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,22,33.7,,25.683,8.017,,17.81,,12.517,5.293,,25.755,,19.1,6.655,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,23,17.8,,25.572,-7.772,,9.47,,12.406,-2.936,,13.635,,18.989,-5.354,5.004,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,24,10.3,,25.406,-15.106,,8.72,,12.239,-3.519,,9.51,,18.822,-9.312,2.997,,2.286,60,
Streeter,46.71797,-99.46081,1944,1992,08,25,17.88,,25.244,-7.364,,4.596,,12.072,-7.476,,11.238,,18.656,-7.417,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,26,19.46,,25.078,-5.618,,3.831,,11.906,-8.074,,11.646,,18.489,-6.843,0,,2.286,59,
Streeter,46.71797,-99.46081,1944,1992,08,27,25.77,,24.961,0.809,,5.897,,11.75,-5.853,,15.834,,18.356,-2.522,0,,2.032,59,
Streeter,46.71797,-99.46081,1944,1992,08,28,28.57,,24.794,3.776,,10.04,,11.583,-1.543,,19.305,,18.189,1.116,0,,2.286,59,
Streeter,46.71797,-99.46081,1944,1992,08,29,16.86,,24.633,-7.773,,9.19,,11.417,-2.227,,13.025,,18.022,-4.997,15.011,,2.032,60,
Streeter,46.71797,-99.46081,1944,1992,08,30,17.95,,24.467,-6.517,,5.445,,11.25,-5.805,,11.698,,17.861,-6.163,0,,2.032,60,
Streeter,46.71797,-99.46081,1944,1992,08,31,20.67,,24.3,-3.63,,1.772,,11.083,-9.311,,11.221,,17.689,-6.468,0,,2.032,60,
Streeter,46.71797,-99.46081,1944,1992,09,01,15.07,,24.089,-9.019,,11.32,,10.917,0.403,,13.195,,17.5,-4.305,51.003,,2.286,64,
Streeter,46.71797,-99.46081,1944,1992,09,02,21.69,,23.911,-2.221,,7.69,,10.75,-3.06,,14.69,,17.333,-2.643,5.994,,2.032,65,
Streeter,46.71797,-99.46081,1944,1992,09,03,23.25,,23.744,-0.494,,4.413,,10.533,-6.121,,13.832,,17.139,-3.307,2.007,,2.032,65,
Streeter,46.71797,-99.46081,1944,1992,09,04,23.29,,23.533,-0.243,,10.7,,10.361,0.339,,16.995,,16.944,0.051,0.991,,2.032,65,
Streeter,46.71797,-99.46081,1944,1992,09,05,21.37,,23.367,-1.997,,10.35,,10.144,0.206,,15.86,,16.756,-0.896,0,,2.032,65,
Streeter,46.71797,-99.46081,1944,1992,09,06,11.65,,23.144,-11.494,,7.08,,9.978,-2.898,,9.365,,16.561,-7.196,0.991,,2.286,65,
Streeter,46.71797,-99.46081,1944,1992,09,07,10.52,,22.978,-12.458,,2.213,,9.767,-7.554,,6.367,,16.372,-10.006,0,,2.032,64,
Streeter,46.71797,-99.46081,1944,1992,09,08,16.96,,22.756,-5.796,,1.42,,9.544,-8.124,,9.19,,16.15,-6.96,0,,1.778,64,
Streeter,46.71797,-99.46081,1944,1992,09,09,15.37,,22.578,-7.208,,6.465,,9.378,-2.913,,10.918,,15.978,-5.06,0.991,,2.286,64,
Streeter,46.71797,-99.46081,1944,1992,09,10,17.76,,22.356,-4.596,,5.582,,9.156,-3.573,,11.671,,15.756,-4.084,0,,2.032,64,
Streeter,46.71797,-99.46081,1944,1992,09,11,28.33,,22.133,6.197,,7.547,E,8.944,-1.398,E,17.938,E,15.539,2.399,0,,2.032,64,
Streeter,46.71797,-99.46081,1944,1992,09,12,23.95,,21.911,2.039,,9.76,,8.722,1.038,,16.855,,15.317,1.538,0,,2.032,64,
Streeter,46.71797,-99.46081,1944,1992,09,13,19.45,,21.689,-2.239,,5.645,,8.511,-2.866,,12.548,,15.1,-2.552,0,,1.778,64,
Streeter,46.71797,-99.46081,1944,1992,09,14,20.73,,21.467,-0.737,,3.484,,8.333,-4.849,,12.107,,14.9,-2.793,0,,2.032,64,
Streeter,46.71797,-99.46081,1944,1992,09,15,26.26,,21.244,5.016,,9.85,,8.111,1.739,,18.055,,14.678,3.377,0,,1.778,64,
Streeter,46.71797,-99.46081,1944,1992,09,16,16.78,,21.011,-4.231,,6.392,,7.844,-1.452,,11.586,,14.428,-2.842,0,,1.778,64,
Streeter,46.71797,-99.46081,1944,1992,09,17,19.51,,20.789,-1.279,,5.262,,7.622,-2.36,,12.386,,14.206,-1.819,2.997,,1.524,64,
Streeter,46.71797,-99.46081,1944,1992,09,18,12.23,,20.556,-8.326,,1.22,,7.406,-6.186,,6.725,,13.978,-7.253,0,,1.524,64,
Streeter,46.71797,-99.46081,1944,1992,09,19,24.45,,20.333,4.117,,3.572,,7.183,-3.611,,14.011,,13.761,0.25,0,,1.524,64,
Streeter,46.71797,-99.46081,1944,1992,09,20,27.88,,20.056,7.824,,7.01,,6.956,0.054,,17.445,,13.506,3.939,0,,1.524,64,
Streeter,46.71797,-99.46081,1944,1992,09,21,15.28,,19.822,-4.542,,0.252,,6.733,-6.481,,7.766,,13.278,-5.512,0,,1.778,63,
Streeter,46.71797,-99.46081,1944,1992,09,22,15.86,,19.544,-3.684,,-1.54,,6.511,-8.051,,7.16,,13.028,-5.868,0,,1.524,63,
Streeter,46.71797,-99.46081,1944,1992,09,23,27.31,,19.311,7.999,,4.061,,6.239,-2.178,,15.686,,12.778,2.908,0,,1.524,63,
Streeter,46.71797,-99.46081,1944,1992,09,24,30.79,,19.033,11.757,,14.05,,6.011,8.039,,22.42,,12.522,9.898,0,,1.524,63,
